node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc,year,month,period
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-03,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-04,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-05,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-06,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-07,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-08,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-09,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-10,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-11,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-12,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-13,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-14,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-15,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-16,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-17,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-18,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-02-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,2,February 2026
